rider_record_id,policy_id,customer_id,rider_type_id,rider_premium,rider_sum_assured,rider_start_date,rider_end_date,rider_status
RDR0000001,POL0007818,CUST007724,R02,7063,1645759,2019-01-04,2040-01-04,Lapsed
RDR0000002,POL0004355,CUST009542,R02,2025,1592705,2022-10-14,2042-10-14,Active
RDR0000003,POL0003941,CUST005908,R05,6332,925719,2015-01-12,2027-01-12,Active
RDR0000004,POL0000320,CUST006222,R02,4951,1163859,2010-06-26,2028-06-26,Active
RDR0000005,POL0014119,CUST002114,R02,7625,1794060,2010-10-04,2049-10-04,Active
RDR0000006,POL0007626,CUST003754,R04,5504,916076,2024-04-09,2038-04-09,Active
RDR0000007,POL0010739,CUST009272,R04,4879,1084314,2013-02-02,2044-02-02,Active
RDR0000008,POL0011967,CUST004026,R01,5436,1534434,2019-06-30,2037-06-30,Active
RDR0000009,POL0006474,CUST004092,R01,3139,1204461,2013-02-11,2022-02-11,Matured
RDR0000010,POL0002080,CUST003745,R05,2881,1970908,2015-04-30,2039-04-30,Active
RDR0000011,POL0007096,CUST003838,R01,4636,560250,2013-03-19,2033-03-19,Active
RDR0000012,POL0008952,CUST000386,R04,2919,1202151,2021-08-07,2032-08-07,Active
RDR0000013,POL0007386,CUST006839,R03,3672,1828671,2013-01-23,2018-01-23,Matured
RDR0000014,POL0008681,CUST007628,R01,4770,1436301,2014-01-17,2031-01-17,Active
RDR0000015,POL0002396,CUST006347,R05,5039,1766601,2023-01-05,2039-01-05,Active
RDR0000016,POL0006861,CUST005603,R02,2062,1707930,2015-08-08,2030-08-08,Active
RDR0000017,POL0006523,CUST009076,R01,6687,1509357,2019-09-13,2059-09-13,Active
RDR0000018,POL0004022,CUST000714,R01,1947,1580056,2012-08-24,2018-08-24,Matured
RDR0000019,POL0009421,CUST004813,R03,4551,1377365,2022-08-25,2040-08-25,Active
RDR0000020,POL0006464,CUST004830,R01,4717,1119144,2012-04-06,2022-04-06,Lapsed
RDR0000021,POL0005088,CUST003017,R03,7688,1299460,2023-07-04,2037-07-04,Active
RDR0000022,POL0005849,CUST005744,R01,5311,247532,2012-10-08,2028-10-08,Active
RDR0000023,POL0000191,CUST008603,R03,1064,594970,2022-12-09,2059-12-09,Lapsed
RDR0000024,POL0012820,CUST008366,R04,2459,584418,2011-06-24,2019-06-24,Matured
RDR0000025,POL0014512,CUST005777,R02,7987,1869443,2017-06-02,2038-06-02,Active
RDR0000026,POL0014427,CUST009580,R05,2009,1918746,2020-02-01,2028-02-01,Active
RDR0000027,POL0002607,CUST007692,R04,7820,505246,2023-07-09,2040-07-09,Active
RDR0000028,POL0003963,CUST009706,R02,2942,1541002,2012-09-29,2023-09-29,Matured
RDR0000029,POL0007729,CUST004584,R03,1655,1705609,2010-03-08,2040-03-08,Active
RDR0000030,POL0007547,CUST004355,R02,5447,976684,2018-10-15,2032-10-15,Active
RDR0000031,POL0004945,CUST008080,R01,5987,1948439,2022-12-01,2032-12-01,Active
RDR0000032,POL0010667,CUST007751,R01,5321,642524,2017-01-15,2033-01-15,Active
RDR0000033,POL0006496,CUST007776,R02,7827,1145489,2021-07-14,2035-07-14,Active
RDR0000034,POL0011834,CUST005696,R05,2188,633290,2023-09-25,2059-09-25,Active
RDR0000035,POL0010135,CUST008867,R01,6469,1401027,2015-11-19,2042-11-19,Active
RDR0000036,POL0007825,CUST003883,R03,5477,237490,2022-10-08,2033-10-08,Active
RDR0000037,POL0014990,CUST001672,R01,4422,383934,2021-03-09,2036-03-09,Active
RDR0000038,POL0003773,CUST000488,R03,1983,1548929,2019-01-31,2040-01-31,Lapsed
RDR0000039,POL0007966,CUST003586,R01,4789,532396,2015-07-07,2026-07-07,Active
RDR0000040,POL0000632,CUST004937,R03,5751,1021980,2018-11-03,2028-11-03,Active
RDR0000041,POL0010665,CUST000275,R01,2479,379055,2010-10-03,2027-10-03,Active
RDR0000042,POL0000119,CUST007502,R02,2493,1237164,2021-05-06,2029-05-06,Active
RDR0000043,POL0010066,CUST003483,R02,2736,477117,2011-05-20,2020-05-20,Matured
RDR0000044,POL0005170,CUST000530,R01,6337,1013764,2020-06-14,2040-06-14,Lapsed
RDR0000045,POL0002323,CUST003478,R01,4342,678009,2021-02-04,2039-02-04,Active
RDR0000046,POL0012027,CUST008191,R02,4144,1484011,2013-07-07,2050-07-07,Active
RDR0000047,POL0010757,CUST000320,R02,1389,1999922,2012-03-03,2044-03-03,Active
RDR0000048,POL0001080,CUST002549,R04,3056,667010,2020-09-05,2026-09-05,Lapsed
RDR0000049,POL0006760,CUST000210,R02,6325,1729756,2011-03-30,2028-03-30,Surrendered
RDR0000050,POL0001043,CUST000551,R01,2242,1118518,2019-03-20,2047-03-20,Active
RDR0000051,POL0004980,CUST009038,R01,7219,1147189,2017-05-17,2032-05-17,Active
RDR0000052,POL0008923,CUST008159,R03,4871,467765,2017-10-19,2025-10-19,Active
RDR0000053,POL0010910,CUST004919,R01,5003,1054465,2013-04-21,2040-04-21,Lapsed
RDR0000054,POL0009894,CUST005684,R04,6570,1081376,2010-04-11,2023-04-11,Matured
RDR0000055,POL0001927,CUST001617,R03,7428,233669,2019-03-25,2039-03-25,Active
RDR0000056,POL0002855,CUST009104,R02,4708,1467030,2014-03-27,2030-03-27,Active
RDR0000057,POL0011885,CUST008436,R04,5974,1505320,2017-08-06,2035-08-06,Active
RDR0000058,POL0012269,CUST009835,R01,5024,1638482,2013-12-01,2050-12-01,Active
RDR0000059,POL0010260,CUST001036,R05,5890,985839,2013-04-23,2018-04-23,Matured
RDR0000060,POL0011347,CUST000570,R03,5814,646044,2016-07-23,2051-07-23,Active
RDR0000061,POL0000793,CUST000063,R02,1765,311184,2023-11-04,2036-11-04,Active
RDR0000062,POL0002475,CUST009832,R01,4150,1503302,2012-05-27,2032-05-27,Active
RDR0000063,POL0000671,CUST007894,R01,7803,1127556,2015-09-15,2026-09-15,Active
RDR0000064,POL0013522,CUST002211,R04,4100,847964,2010-01-04,2026-01-04,Active
RDR0000065,POL0002312,CUST004550,R03,1927,406863,2015-02-05,2030-02-05,Active
RDR0000066,POL0006479,CUST009994,R04,3373,1336630,2013-04-02,2042-04-02,Active
RDR0000067,POL0001360,CUST002376,R01,5719,214646,2023-10-12,2028-10-12,Lapsed
RDR0000068,POL0000219,CUST009975,R04,3409,1063510,2018-09-03,2033-09-03,Active
RDR0000069,POL0011612,CUST008341,R02,4825,1976777,2021-07-30,2027-07-30,Active
RDR0000070,POL0006051,CUST008503,R02,3528,1144839,2019-03-15,2041-03-15,Active
RDR0000071,POL0012317,CUST007832,R01,7590,1587205,2021-11-10,2036-11-10,Active
RDR0000072,POL0010664,CUST004484,R05,4575,1948312,2011-04-05,2046-04-05,Active
RDR0000073,POL0003193,CUST007339,R05,4765,804444,2012-11-13,2042-11-13,Active
RDR0000074,POL0005482,CUST006080,R05,5235,1896113,2017-07-18,2032-07-18,Active
RDR0000075,POL0005249,CUST006132,R05,2755,1459289,2016-11-20,2033-11-20,Active
RDR0000076,POL0004901,CUST002816,R02,2200,367952,2011-01-25,2017-01-25,Matured
RDR0000077,POL0008380,CUST001776,R02,2097,851615,2017-03-24,2049-03-24,Active
RDR0000078,POL0003599,CUST005623,R01,4784,1798590,2022-08-20,2029-08-20,Active
RDR0000079,POL0014540,CUST004732,R03,3209,1547005,2012-07-16,2024-07-16,Matured
RDR0000080,POL0014467,CUST006188,R01,3702,987011,2023-04-11,2036-04-11,Active
RDR0000081,POL0000801,CUST005606,R05,6192,345814,2016-10-10,2036-10-10,Active
RDR0000082,POL0008773,CUST006955,R03,6323,481562,2019-05-19,2048-05-19,Active
RDR0000083,POL0011020,CUST008079,R05,3349,1033405,2013-12-01,2026-12-01,Active
RDR0000084,POL0010695,CUST005027,R02,3422,266195,2011-09-28,2032-09-28,Active
RDR0000085,POL0004319,CUST002171,R02,3962,1819095,2014-12-26,2051-12-26,Active
RDR0000086,POL0010050,CUST009019,R01,2967,1859766,2011-09-03,2030-09-03,Lapsed
RDR0000087,POL0011488,CUST008768,R03,4034,575978,2015-05-03,2055-05-03,Lapsed
RDR0000088,POL0006297,CUST002607,R02,2908,1171116,2016-02-21,2024-02-21,Matured
RDR0000089,POL0002218,CUST005763,R02,7567,941081,2011-06-13,2034-06-13,Active
RDR0000090,POL0003984,CUST002764,R02,6255,780054,2011-01-19,2026-01-19,Active
RDR0000091,POL0004909,CUST003708,R03,7389,1124295,2023-03-06,2047-03-06,Active
RDR0000092,POL0011638,CUST006439,R02,6960,1469247,2020-02-10,2040-02-10,Active
RDR0000093,POL0001563,CUST005835,R01,4475,1296365,2021-05-02,2039-05-02,Active
RDR0000094,POL0007768,CUST001808,R02,2570,483688,2010-01-12,2038-01-12,Active
RDR0000095,POL0003774,CUST007593,R05,1270,868883,2018-10-17,2030-10-17,Active
RDR0000096,POL0000761,CUST001288,R01,3866,548238,2022-07-03,2030-07-03,Active
RDR0000097,POL0014975,CUST000503,R01,1940,1775296,2015-08-23,2023-08-23,Matured
RDR0000098,POL0010099,CUST007897,R02,4921,1216961,2013-12-20,2033-12-20,Lapsed
RDR0000099,POL0006153,CUST006152,R01,3485,1678822,2016-04-18,2028-04-18,Lapsed
RDR0000100,POL0013570,CUST007818,R02,5081,996441,2018-10-30,2034-10-30,Active
RDR0000101,POL0005579,CUST005861,R01,2671,583636,2021-12-19,2054-12-19,Active
RDR0000102,POL0007803,CUST005187,R02,6936,841345,2021-04-01,2033-04-01,Lapsed
RDR0000103,POL0010057,CUST001292,R04,7111,1312068,2018-10-31,2030-10-31,Active
